#Dateiname_orig;Referenz;EventStart;EvtDuration;EventName;EventDesc;EPGExtEvt
NDRTIERGARTE3_0502261229.vid;;2005-02-26 10:45;01:45;Der NDR Tiergarten;Aus dem Erlebniszoo Hannover;Vor imposanter Kulisse und inmitten von exotischen Tieren moderiert Mirja Kaiser einen Cocktail aus Tiergeschichten, Spielen und zoologischen Showelementen.Mit dabei das Elefantenbaby, das seit seiner Geburt die Herzen der Besucher im Sturm erobert und drei halbstarke Pumas, die von Hand aufgezogen wurden. Außerdem: Seltene Bilder einer Giraffengeburt und spektakuläre Szenen, in denen ein Gorillamann Prügel von seinen Weibchen bezieht.
OZON1_0506021059.vid;;2005-06-02 11:00;00:30;Ozon - Aus Wissenschaft und Umwelt;;Moderation: Hellmuth HennebergDie Themen im Überblick:* Neues vom Müll - wie Abfall jetzt entsorgt wird* Späte Diagnose - Saurier mit Haltungsschäden* Sumpfschildkröten - Expedition in der Uckermark* Hilfe für Korallen - Riffe aus Beton
OZON2_0506021126.vid;;2005-06-02 11:00;00:30;Ozon - Aus Wissenschaft und Umwelt;;Moderation: Hellmuth HennebergDie Themen im Überblick:* Neues vom Müll - wie Abfall jetzt entsorgt wird* Späte Diagnose - Saurier mit Haltungsschäden* Sumpfschildkröten - Expedition in der Uckermark* Hilfe für Korallen - Riffe aus Beton
PLITVICE1_0504062016.vid;;2005-04-06 20:15;00:45;Plitvice - Land der fallenden Seen;;Sechzehn kristallklare Seen in Terrassen angeordnet, durch unzählige Wasserfälle und Stromschnellen verbunden: das sind die fallenden Seen von Plitvice im gleichnamigen Nationalpark. Dichter Buchenwald umschließt die Wasserflächen, die voll mit Leben sind.Hier findet sich nicht nur die größte Braunbären-Population Europas, auch Wolfsrudel und Luchse durchstreichen das Gebiet. Im klaren Wasser tummeln sich die rarsten Europäer: Sumpfschildkröten und Flusskrebse.
PLITVICE2_0504062039.vid;;2005-04-06 20:15;00:45;Plitvice - Land der fallenden Seen;;Sechzehn kristallklare Seen in Terrassen angeordnet, durch unzählige Wasserfälle und Stromschnellen verbunden: das sind die fallenden Seen von Plitvice im gleichnamigen Nationalpark. Dichter Buchenwald umschließt die Wasserflächen, die voll mit Leben sind.Hier findet sich nicht nur die größte Braunbären-Population Europas, auch Wolfsrudel und Luchse durchstreichen das Gebiet. Im klaren Wasser tummeln sich die rarsten Europäer: Sumpfschildkröten und Flusskrebse.
PLITVICE3_0504062040.vid;;2005-04-06 20:15;00:45;Plitvice - Land der fallenden Seen;;Sechzehn kristallklare Seen in Terrassen angeordnet, durch unzählige Wasserfälle und Stromschnellen verbunden: das sind die fallenden Seen von Plitvice im gleichnamigen Nationalpark. Dichter Buchenwald umschließt die Wasserflächen, die voll mit Leben sind.Hier findet sich nicht nur die größte Braunbären-Population Europas, auch Wolfsrudel und Luchse durchstreichen das Gebiet. Im klaren Wasser tummeln sich die rarsten Europäer: Sumpfschildkröten und Flusskrebse.
PLITVICE4_0504062059.vid;;2005-04-06 20:15;00:45;Plitvice - Land der fallenden Seen;;Sechzehn kristallklare Seen in Terrassen angeordnet, durch unzählige Wasserfälle und Stromschnellen verbunden: das sind die fallenden Seen von Plitvice im gleichnamigen Nationalpark. Dichter Buchenwald umschließt die Wasserflächen, die voll mit Leben sind.Hier findet sich nicht nur die größte Braunbären-Population Europas, auch Wolfsrudel und Luchse durchstreichen das Gebiet. Im klaren Wasser tummeln sich die rarsten Europäer: Sumpfschildkröten und Flusskrebse.
PraxisfrExote_0411201343.vid;;2004-11-20 13:45;00:15;Hier und Heute;Praxis für Exoten;
SCHILDKROETE1_0501182051.vid;;2005-01-18 20:15;00:50;Um Himmels Willen;Traumfrau;Die Nonnen erwarten Besuch von der bekannten Schauspielerin Monika Saint Claire. Sie will für ihre nächste Filmrolle das Leben der Nonnen studieren. Ihr erster Gang führt sie jedoch in die Apotheke, um sich einen Schwangerschaftstest zu besorgen.Bürgermeister Wöller macht der Mutter Oberin ein Angebot: Die Gemeinde übernimmt die Sanierung des Klosters und die Nonnen kaufen das Anwesen für drei Millionen zurück. Allerdings nicht ohne Gegenleistung...(D, 2005)
SCHILDKROETE2_0501182053.vid;;2005-01-18 20:15;00:50;Um Himmels Willen;Traumfrau;Die Nonnen erwarten Besuch von der bekannten Schauspielerin Monika Saint Claire. Sie will für ihre nächste Filmrolle das Leben der Nonnen studieren. Ihr erster Gang führt sie jedoch in die Apotheke, um sich einen Schwangerschaftstest zu besorgen.Bürgermeister Wöller macht der Mutter Oberin ein Angebot: Die Gemeinde übernimmt die Sanierung des Klosters und die Nonnen kaufen das Anwesen für drei Millionen zurück. Allerdings nicht ohne Gegenleistung...(D, 2005)
SCHILDKROETE3_0504091759.vid;;2005-04-09 18:00;00:45;Drama am Schildkrötenstrand;;
SCHMUCKSCHILD_0505131958.vid;;2005-05-13 19:58;00:02;Hessenwetter;;
SchneckenSach_0506112114.vid;;2005-06-11 21:15;00:15;Schnecken-Sache;;
SchneckenSach_0506122314.vid;;2005-06-12 23:15;00:15;Schnecken-Sache;;
SULAWESI1_0503111714.vid;;2005-03-11 17:15;00:45;Naturwelten;Sulawesi - Tiefland und Korallenmeer;In Zentralsulawesi, etwa in der Mitte der Insel, liegt der Pososee. Sein bekanntester Bewohner ist der Marmor-Aal. Walter Siegl konnte mit seinem Filmteam die nächtliche Jagd auf den Speisefisch begleiten. Unter Wasser dokumentiert er die Tierwelt des Pososees.Der Film zeigt auch die reichhaltige Fauna und Flora der Tiefland-Regenwälder: mit Trugnattern, Flugdrachen und der größten Schlange der Welt, der Netzpyhton. Riesenformen zeigen auch manche Urwaldbäume, etwa die riesigen Brettwurzelbäume.
SULAWESI2_0503111751.vid;;2005-03-11 17:15;00:45;Naturwelten;Sulawesi - Tiefland und Korallenmeer;In Zentralsulawesi, etwa in der Mitte der Insel, liegt der Pososee. Sein bekanntester Bewohner ist der Marmor-Aal. Walter Siegl konnte mit seinem Filmteam die nächtliche Jagd auf den Speisefisch begleiten. Unter Wasser dokumentiert er die Tierwelt des Pososees.Der Film zeigt auch die reichhaltige Fauna und Flora der Tiefland-Regenwälder: mit Trugnattern, Flugdrachen und der größten Schlange der Welt, der Netzpyhton. Riesenformen zeigen auch manche Urwaldbäume, etwa die riesigen Brettwurzelbäume.
SULAWESI3_0503111754.vid;;2005-03-11 17:15;00:45;Naturwelten;Sulawesi - Tiefland und Korallenmeer;In Zentralsulawesi, etwa in der Mitte der Insel, liegt der Pososee. Sein bekanntester Bewohner ist der Marmor-Aal. Walter Siegl konnte mit seinem Filmteam die nächtliche Jagd auf den Speisefisch begleiten. Unter Wasser dokumentiert er die Tierwelt des Pososees.Der Film zeigt auch die reichhaltige Fauna und Flora der Tiefland-Regenwälder: mit Trugnattern, Flugdrachen und der größten Schlange der Welt, der Netzpyhton. Riesenformen zeigen auch manche Urwaldbäume, etwa die riesigen Brettwurzelbäume.
SUPERJAEGER1_0507221449.vid;;2005-07-22 14:15;00:45;Wunderbare Welt;Superjäger;Ob Orka oder winziger Moskito, Tiere brauchen Nahrung. Sie liefert Energie zum Leben. Während die einen diese Kraft aus pflanzlicher Kost ziehen, bevorzugen andere Fleisch. Instinktiv gehen sie auf die Jagd. Doch ein Schicksal teilen fast alle: Aus Jägern können schnell Gejagte werden.In einer Art Weltreise dokumentiert der Film von Paul Appleby die spektakulärsten Jagden, die ungewöhnlichsten Strategien und die cleversten Killer.
SUPERJAEGER2_0507221451.vid;;2005-07-22 14:15;00:45;Wunderbare Welt;Superjäger;Ob Orka oder winziger Moskito, Tiere brauchen Nahrung. Sie liefert Energie zum Leben. Während die einen diese Kraft aus pflanzlicher Kost ziehen, bevorzugen andere Fleisch. Instinktiv gehen sie auf die Jagd. Doch ein Schicksal teilen fast alle: Aus Jägern können schnell Gejagte werden.In einer Art Weltreise dokumentiert der Film von Paul Appleby die spektakulärsten Jagden, die ungewöhnlichsten Strategien und die cleversten Killer.
TakaPu_0506190853.vid;;2005-06-19 08:55;00:05;TakaPu (5);Wie TakaPu in Tahiti eine Schildkröte rettete;
Teletubbies_0501020910.vid;;2005-01-02 09:00;00:25;Teletubbies;Schnecken;
TIEREAUSTRALI_0503101428.vid;;2005-03-10 14:25;00:05;Tiere Australiens;Schildkröten;
TIERHOCHVIER1_0412081430.vid;;2004-12-08 14:30;00:27;Tier hoch vier;Wasserspiele - Seehund, Krokodil und Co;Wasser marsch! "Tier hoch vier" hat Tiere ins Studio eingeladen, die am, auf und unter Wasser leben. Moderatorin Anja zeigt Tricks mit Seehunden und fühlt einem Kaiman auf den Zahn.In der Reportage macht Anja den Test, wie viel Wasser in einen Pelikan-Schnabel passt. Und im "Tier hoch vier"-Becken zeigt Co-Moderator Anton, die Zwergziege, ob Hornträger wasserscheu sind.
TIERHOCHVIER2_0412081458.vid;;2004-12-08 14:30;00:27;Tier hoch vier;Wasserspiele - Seehund, Krokodil und Co;Wasser marsch! "Tier hoch vier" hat Tiere ins Studio eingeladen, die am, auf und unter Wasser leben. Moderatorin Anja zeigt Tricks mit Seehunden und fühlt einem Kaiman auf den Zahn.In der Reportage macht Anja den Test, wie viel Wasser in einen Pelikan-Schnabel passt. Und im "Tier hoch vier"-Becken zeigt Co-Moderator Anton, die Zwergziege, ob Hornträger wasserscheu sind.
TIERHOCHVIER3_0501281359.vid;;2005-01-28 14:00;00:27;Tier hoch vier;Jambo! - Die Tierwelt Afrikas;Die Tierwelt Afrikas im TV-Studio: Moderatorin Anja und die Ziege Anton begrüßen heute jede Menge Tiere aus afrikanischen Wüsten, Steppen, Savannen und dem Dschungel.Eine Tigerpython schlängelt sich um Anjas Hals und Anton geht auf Sicherheitsabstand zu den piksigen Stachelschweinen. Ebenfalls auf Gut Rommerskirchen zu Gast: ein winziger Rüsselspringer, eine Panterschildkröte und das kleine Berberäffchen Jane.
TIERHOCHVIER4_0501281409.vid;;2005-01-28 14:00;00:27;Tier hoch vier;Jambo! - Die Tierwelt Afrikas;Die Tierwelt Afrikas im TV-Studio: Moderatorin Anja und die Ziege Anton begrüßen heute jede Menge Tiere aus afrikanischen Wüsten, Steppen, Savannen und dem Dschungel.Eine Tigerpython schlängelt sich um Anjas Hals und Anton geht auf Sicherheitsabstand zu den piksigen Stachelschweinen. Ebenfalls auf Gut Rommerskirchen zu Gast: ein winziger Rüsselspringer, eine Panterschildkröte und das kleine Berberäffchen Jane.
TIERHOCHVIER5_0502041410.vid;;2005-02-04 14:00;00:25;Tier hoch vier;Wo Tiere wohnen - Höhlen, Nester und noch mehr;Ein "Schlafzimmer" mitten im Fluss, ein "Wohnzimmer" unter der Erde oder auf einer Bergspitze: Tiere können dort "wohnen", wo es für Menschen zu nass, zu kalt oder zu windig ist.Das Tier hoch vier-Team liefert heute animalische Homestorys aus der ganzen Welt, hat wieder jede Menge Studiogäste eingeladen und besucht einen "Kollegen" des Rattenfängers von Hameln.
TIERREICH_0501281431.vid;;2005-01-28 14:25;00:05;TierReich;Fortpflanzung;
TOEDLICHEJAE1_0506191315.vid;;2005-06-19 13:15;00:45;Tödliche Jäger der Sümpfe;;
TOEDLICHEJAE2_0506191340.vid;;2005-06-19 13:15;00:45;Tödliche Jäger der Sümpfe;;
TOEDLICHEJAE3_0506191348.vid;;2005-06-19 13:15;00:45;Tödliche Jäger der Sümpfe;;
TOEDLICHEJAE4_0506191357.vid;;2005-06-19 13:15;00:45;Tödliche Jäger der Sümpfe;;
TRIUMPHDESLE1_0505041415.vid;;2005-05-04 14:15;00:45;Triumph des Lebens;Vier Milliarden Jahre Krieg;
TRIUMPHDESLE2_0505041416.vid;;2005-05-04 14:15;00:45;Triumph des Lebens;Vier Milliarden Jahre Krieg;
TRIUMPHDESLE3_0505041452.vid;;2005-05-04 14:15;00:45;Triumph des Lebens;Vier Milliarden Jahre Krieg;
TRIUMPHDESLE4_0505041453.vid;;2005-05-04 14:15;00:45;Triumph des Lebens;Vier Milliarden Jahre Krieg;
TRIUMPHDESLE5_0505041457.vid;;2005-05-04 14:15;00:45;Triumph des Lebens;Vier Milliarden Jahre Krieg;
Urviecher_0501250823.vid;;2005-01-25 08:25;00:14;Urviecher;Schildkröten;Lebende Fossilien sind mit dem Begriff Urviecher gemeint: Tiere also, die sich im Laufe der Evolution kaum verändert haben, die noch große Ähnlichkeit mit den Urtieren ihrer Gattung aufweisen.Wo und wie leben sie heute? Warum wurden sie von der Evolution vergessen? Welche Gründe führten dazu, dass sie sich Darwins zentralem Lehrsatz entzogen, der die ständige Veränderung der Organismen im Laufe der Zeit fordert.
VONBLINDWUHL1_0412142015.vid;;2004-12-14 20:15;00:45;Von Blindwühlen und Kannenpflanzen;Naturwunder Seychellen (5/5);42 Granit- und 73 Koralleninseln verschiedener Größe und Topographie sind das einzigartige Kapital der Seychellen. Die zuständigen Behörden wissen seit vielen Jahren, dass dieses einmalige Naturerbe erhalten bleiben muss, sonst werden eines Tages die zahlungskräftigen Touristen ausbleiben.Der Film erzählt von verschiedenen Naturschutzprojekten und den Menschen, die sie betreuen. Denn nur mit deren Engagement ist dieses Paradies auch in Zukunft zu erhalten.Format 16:9
VONBLINDWUHL2_0412142030.vid;;2004-12-14 20:15;00:45;Von Blindwühlen und Kannenpflanzen;Naturwunder Seychellen (5/5);42 Granit- und 73 Koralleninseln verschiedener Größe und Topographie sind das einzigartige Kapital der Seychellen. Die zuständigen Behörden wissen seit vielen Jahren, dass dieses einmalige Naturerbe erhalten bleiben muss, sonst werden eines Tages die zahlungskräftigen Touristen ausbleiben.Der Film erzählt von verschiedenen Naturschutzprojekten und den Menschen, die sie betreuen. Denn nur mit deren Engagement ist dieses Paradies auch in Zukunft zu erhalten.Format 16:9
VonRuseeschwa_0503291232.vid;;2005-03-30 12:30;00:45;Von Russseeschwalben und Riesenschildkröten;Seychellen - Naturparadies im Indischen Ozean;Die Seychellen gehören mit ihren 115 Inseln zu den eindrucksvollsten und faszinierendsten Naturlandschaften, die es im Indischen Ozean gibt.In Landschaften von atemberaubender Schönheit lassen sich viele seltene Pflanzen und Tiere finden, wie die Rußseeschwalbe, die Elsterdrossel oder die Riesenlandschildkröte. Die Kokosnüsse der Coco de Mer zählen zu den größten der Welt.Format 16:9
VONSCHLAMMSP1_0412072014.vid;;2004-12-07 20:15;00:45;Von Schlammspringern und Riesennüssen;Naturwunder Seychellen (4/5);Aufgrund der geographischen Lage hat sich auf den Seychellen eine einzigartige Fauna und Flora entwickelt, die man nirgendwo auf der Welt sonst findet.Der Film zeigt die verschiedenen Lebensräume, die auf den Inseln entstehen konnten. Hier gibt es auf einer Distanz von nur wenigen Kilometern eine Fülle von unterschiedlichen Naturlandschaften.Format 16:9
VONSCHLAMMSP2_0412072021.vid;;2004-12-07 20:15;00:45;Von Schlammspringern und Riesennüssen;Naturwunder Seychellen (4/5);Aufgrund der geographischen Lage hat sich auf den Seychellen eine einzigartige Fauna und Flora entwickelt, die man nirgendwo auf der Welt sonst findet.Der Film zeigt die verschiedenen Lebensräume, die auf den Inseln entstehen konnten. Hier gibt es auf einer Distanz von nur wenigen Kilometern eine Fülle von unterschiedlichen Naturlandschaften.Format 16:9
VONSCHLAMMSP3_0412072038.vid;;2004-12-07 20:15;00:45;Von Schlammspringern und Riesennüssen;Naturwunder Seychellen (4/5);Aufgrund der geographischen Lage hat sich auf den Seychellen eine einzigartige Fauna und Flora entwickelt, die man nirgendwo auf der Welt sonst findet.Der Film zeigt die verschiedenen Lebensräume, die auf den Inseln entstehen konnten. Hier gibt es auf einer Distanz von nur wenigen Kilometern eine Fülle von unterschiedlichen Naturlandschaften.Format 16:9
VONSCHLAMMSP4_0412072049.vid;;2004-12-07 20:15;00:45;Von Schlammspringern und Riesennüssen;Naturwunder Seychellen (4/5);Aufgrund der geographischen Lage hat sich auf den Seychellen eine einzigartige Fauna und Flora entwickelt, die man nirgendwo auf der Welt sonst findet.Der Film zeigt die verschiedenen Lebensräume, die auf den Inseln entstehen konnten. Hier gibt es auf einer Distanz von nur wenigen Kilometern eine Fülle von unterschiedlichen Naturlandschaften.Format 16:9
VONSCHLAMMSP5_0412072057.vid;;2004-12-07 20:15;00:45;Von Schlammspringern und Riesennüssen;Naturwunder Seychellen (4/5);Aufgrund der geographischen Lage hat sich auf den Seychellen eine einzigartige Fauna und Flora entwickelt, die man nirgendwo auf der Welt sonst findet.Der Film zeigt die verschiedenen Lebensräume, die auf den Inseln entstehen konnten. Hier gibt es auf einer Distanz von nur wenigen Kilometern eine Fülle von unterschiedlichen Naturlandschaften.Format 16:9
VOYAGES2_0507051831.vid;;2005-07-05 18:15;00:40;Voyages, Voyages;Mexiko - Yukatan;Dokumentation von Jutta PinzlerDeutschland 2002, ZDFEndlose, weiße Sandstrände, karge Bergregionen, reizvolle Städte und imposante Mayatempel: das ist der Süden von Mexiko. Keine andere Region des Landes kann mit seiner geographischen und kulturellen Vielfalt konkurrieren. Das weite Hochtal von Oaxaca, die tropische Landschaft in Veracruz, die karibischen Badeparadiese auf Yukatan und der Mangrovendschungel von Quintana Roo.
VOYAGES1_0507121400.vid;;2005-07-12 14:00;00:40;Voyages, Voyages;Mexiko;Dokumentation von Jutta PinzlerDeutschland 2002, ZDFEndlose, weiße Sandstrände, karge Bergregionen, reizvolle Städte und imposante Mayatempel: das ist der Süden von Mexiko. Keine andere Region des Landes kann mit seiner geographischen und kulturellen Vielfalt konkurrieren. Das weite Hochtal von Oaxaca, die tropische Landschaft in Veracruz, die karibischen Badeparadiese auf Yukatan und der Mangrovendschungel von Quintana Roo.
VOYAGES3_0507121439.vid;;2005-07-12 14:00;00:40;Voyages, Voyages;Mexiko;Dokumentation von Jutta PinzlerDeutschland 2002, ZDFEndlose, weiße Sandstrände, karge Bergregionen, reizvolle Städte und imposante Mayatempel: das ist der Süden von Mexiko. Keine andere Region des Landes kann mit seiner geographischen und kulturellen Vielfalt konkurrieren. Das weite Hochtal von Oaxaca, die tropische Landschaft in Veracruz, die karibischen Badeparadiese auf Yukatan und der Mangrovendschungel von Quintana Roo.
VOYAGES4_0507251400.vid;;2005-07-25 14:00;00:40;Voyages, Voyages;Madeira;Reisedokumentation von Astrid Spiegelberg, Deutschland 2002, MDRDie Atlantik-Insel Madeira gleicht einem schwimmenden Garten. Ganzjährig grünen und blühen dort um die 800 Pflanzenarten und sorgen für Madeiras Ruf als Blumeninsel. Jenseits dieses Klischees erzählt die Dokumentation Geschichten rund um die Wasserstraßen, die so genannten Levadas, die die Lebensadern des Eilandes sind.
VOYAGES5_0507251415.vid;;2005-07-25 14:00;00:40;Voyages, Voyages;Madeira;Reisedokumentation von Astrid Spiegelberg, Deutschland 2002, MDRDie Atlantik-Insel Madeira gleicht einem schwimmenden Garten. Ganzjährig grünen und blühen dort um die 800 Pflanzenarten und sorgen für Madeiras Ruf als Blumeninsel. Jenseits dieses Klischees erzählt die Dokumentation Geschichten rund um die Wasserstraßen, die so genannten Levadas, die die Lebensadern des Eilandes sind.
WALDINFLAMME1_0507251814.vid;;2005-07-25 18:15;00:42;Wald in Flammen (1/3);Der Kampf gegen das Feuer;Dokumentation von Jean-Yves ColletFrankreich 2004, ARTE FIn Europa entstehen pro Jahr circa 45.000 Waldbrände. Die dreiteilige Dokumentationsreihe beschäftigt sich mit den Bränden aus unterschiedlichen Perspektiven: Wie entstehen Waldbrände? Wie betreffen sie Menschen, Tiere und Pflanzen? Wie kann man sie bekämpfen?
WALDINFLAMME2_0507251856.vid;;2005-07-25 18:15;00:42;Wald in Flammen (1/3);Der Kampf gegen das Feuer;Dokumentation von Jean-Yves ColletFrankreich 2004, ARTE FIn Europa entstehen pro Jahr circa 45.000 Waldbrände. Die dreiteilige Dokumentationsreihe beschäftigt sich mit den Bränden aus unterschiedlichen Perspektiven: Wie entstehen Waldbrände? Wie betreffen sie Menschen, Tiere und Pflanzen? Wie kann man sie bekämpfen?
WALDINFLAMME3_0507261814.vid;;2005-07-26 18:15;00:42;Wald in Flammen (2/3);Was wird aus den Tieren?;Dokumentation von Jean-Yves ColletFrankreich 2004, ARTE FIn Europa entstehen pro Jahr circa 45.000 Waldbrände. Die dreiteilige Dokumentationsreihe beschäftigt sich mit den Bränden aus unterschiedlichen Perspektiven: Wie entstehen Waldbrände? Wie betreffen sie Menschen, Tiere und Pflanzen? Wie kann man sie bekämpfen?
WENNDASMEER1_0411231715.vid;;2004-11-23 17:15;00:45;Naturwelten;Wenn das Meer kommt und geht;Aldabra ist das größte Atoll der Welt. Mitten im Indischen Ozean überfluten täglich Millionen Liter von Wasser seine gigantische Lagune. In der unberührten Natur haben sich Tierarten entwickelt, die nur hier zu finden sind.Riesenkrabben haben gelernt, auf Bäume zu klettern, während kleine Vögel das Fliegen aufgegeben haben. Wenn mit der Flut das Wasser steigt, können auch große Fische über das Riff in die Lagune gelangen. Sogar Haie warten dafür vor den Riffen. Doch wehe dem, der noch in der Lagune ist, wenn die Ebbe kommt.
WENNDASMEER2_0411231727.vid;;2004-11-23 17:15;00:45;Naturwelten;Wenn das Meer kommt und geht;Aldabra ist das größte Atoll der Welt. Mitten im Indischen Ozean überfluten täglich Millionen Liter von Wasser seine gigantische Lagune. In der unberührten Natur haben sich Tierarten entwickelt, die nur hier zu finden sind.Riesenkrabben haben gelernt, auf Bäume zu klettern, während kleine Vögel das Fliegen aufgegeben haben. Wenn mit der Flut das Wasser steigt, können auch große Fische über das Riff in die Lagune gelangen. Sogar Haie warten dafür vor den Riffen. Doch wehe dem, der noch in der Lagune ist, wenn die Ebbe kommt.
WENNDASMEER3_0411231740.vid;;2004-11-23 17:15;00:45;Naturwelten;Wenn das Meer kommt und geht;Aldabra ist das größte Atoll der Welt. Mitten im Indischen Ozean überfluten täglich Millionen Liter von Wasser seine gigantische Lagune. In der unberührten Natur haben sich Tierarten entwickelt, die nur hier zu finden sind.Riesenkrabben haben gelernt, auf Bäume zu klettern, während kleine Vögel das Fliegen aufgegeben haben. Wenn mit der Flut das Wasser steigt, können auch große Fische über das Riff in die Lagune gelangen. Sogar Haie warten dafür vor den Riffen. Doch wehe dem, der noch in der Lagune ist, wenn die Ebbe kommt.
WENNDASMEER4_0411231749.vid;;2004-11-23 17:15;00:45;Naturwelten;Wenn das Meer kommt und geht;Aldabra ist das größte Atoll der Welt. Mitten im Indischen Ozean überfluten täglich Millionen Liter von Wasser seine gigantische Lagune. In der unberührten Natur haben sich Tierarten entwickelt, die nur hier zu finden sind.Riesenkrabben haben gelernt, auf Bäume zu klettern, während kleine Vögel das Fliegen aufgegeben haben. Wenn mit der Flut das Wasser steigt, können auch große Fische über das Riff in die Lagune gelangen. Sogar Haie warten dafür vor den Riffen. Doch wehe dem, der noch in der Lagune ist, wenn die Ebbe kommt.
WENNDASMEER5_0411231758.vid;;2004-11-23 17:15;00:45;Naturwelten;Wenn das Meer kommt und geht;Aldabra ist das größte Atoll der Welt. Mitten im Indischen Ozean überfluten täglich Millionen Liter von Wasser seine gigantische Lagune. In der unberührten Natur haben sich Tierarten entwickelt, die nur hier zu finden sind.Riesenkrabben haben gelernt, auf Bäume zu klettern, während kleine Vögel das Fliegen aufgegeben haben. Wenn mit der Flut das Wasser steigt, können auch große Fische über das Riff in die Lagune gelangen. Sogar Haie warten dafür vor den Riffen. Doch wehe dem, der noch in der Lagune ist, wenn die Ebbe kommt.
WENNDASMEER6_0411231759.vid;;2004-11-23 17:15;00:45;Naturwelten;Wenn das Meer kommt und geht;Aldabra ist das größte Atoll der Welt. Mitten im Indischen Ozean überfluten täglich Millionen Liter von Wasser seine gigantische Lagune. In der unberührten Natur haben sich Tierarten entwickelt, die nur hier zu finden sind.Riesenkrabben haben gelernt, auf Bäume zu klettern, während kleine Vögel das Fliegen aufgegeben haben. Wenn mit der Flut das Wasser steigt, können auch große Fische über das Riff in die Lagune gelangen. Sogar Haie warten dafür vor den Riffen. Doch wehe dem, der noch in der Lagune ist, wenn die Ebbe kommt.
WILDESEUROPA1_0505131714.vid;;2005-05-13 17:15;00:45;Wildes Europa (6);Im Meer und an der Küste;Noch immer beherbergt das Mittelmeer eine reiche Meeresfauna. Doch Überfischung, Verschmutzung durch Industrie und Abwässer sowie die Belastungen durch jährlich 130 Millionen Urlauber bedrohen die Artenvielfalt.Auf der Insel Port Cros vor der Südküste Frankreichs liegt das erste Schutzgebiet des Mittelmeeres. Nur hier und in den wenigen Randgebieten bleibt den Wasser- und Küstentieren noch Raum, um ungestört zu leben.
WILDESEUROPA2_0505131732.vid;;2005-05-13 17:15;00:45;Wildes Europa (6);Im Meer und an der Küste;Noch immer beherbergt das Mittelmeer eine reiche Meeresfauna. Doch Überfischung, Verschmutzung durch Industrie und Abwässer sowie die Belastungen durch jährlich 130 Millionen Urlauber bedrohen die Artenvielfalt.Auf der Insel Port Cros vor der Südküste Frankreichs liegt das erste Schutzgebiet des Mittelmeeres. Nur hier und in den wenigen Randgebieten bleibt den Wasser- und Küstentieren noch Raum, um ungestört zu leben.
WILDESEUROPA3_0505131736.vid;;2005-05-13 17:15;00:45;Wildes Europa (6);Im Meer und an der Küste;Noch immer beherbergt das Mittelmeer eine reiche Meeresfauna. Doch Überfischung, Verschmutzung durch Industrie und Abwässer sowie die Belastungen durch jährlich 130 Millionen Urlauber bedrohen die Artenvielfalt.Auf der Insel Port Cros vor der Südküste Frankreichs liegt das erste Schutzgebiet des Mittelmeeres. Nur hier und in den wenigen Randgebieten bleibt den Wasser- und Küstentieren noch Raum, um ungestört zu leben.
WILDNISAMMIS1_0506091215.vid;;2005-06-09 12:15;00:45;Wildnis Mississippi - Leben am großen Fluss;;Am Oberlauf des Mississippi hat sich Kenny Salwey in einer Blockhütte niedergelassen. Als Trapper, Jäger und Angler lebt der alte Mann abgeschieden von und mit der Wildnis.Der Film begleitet Kenny durch die Jahreszeiten von bitterkalten Wintern bis zu schwülwarmen Sommertagen. In faszinierenden Bildern wird das Leben von Bibern, Seeadlern, Wasserschildkröten und Klapperschlangen eingefangen. Niemand kennt ihre Gewohnheiten besser als der alte Mann am Mississippi.
WILDNISAMMIS2_0506091222.vid;;2005-06-09 12:15;00:45;Wildnis Mississippi - Leben am großen Fluss;;Am Oberlauf des Mississippi hat sich Kenny Salwey in einer Blockhütte niedergelassen. Als Trapper, Jäger und Angler lebt der alte Mann abgeschieden von und mit der Wildnis.Der Film begleitet Kenny durch die Jahreszeiten von bitterkalten Wintern bis zu schwülwarmen Sommertagen. In faszinierenden Bildern wird das Leben von Bibern, Seeadlern, Wasserschildkröten und Klapperschlangen eingefangen. Niemand kennt ihre Gewohnheiten besser als der alte Mann am Mississippi.
WILDNISAMMIS4_0506091243.vid;;2005-06-09 12:15;00:45;Wildnis Mississippi - Leben am großen Fluss;;Am Oberlauf des Mississippi hat sich Kenny Salwey in einer Blockhütte niedergelassen. Als Trapper, Jäger und Angler lebt der alte Mann abgeschieden von und mit der Wildnis.Der Film begleitet Kenny durch die Jahreszeiten von bitterkalten Wintern bis zu schwülwarmen Sommertagen. In faszinierenden Bildern wird das Leben von Bibern, Seeadlern, Wasserschildkröten und Klapperschlangen eingefangen. Niemand kennt ihre Gewohnheiten besser als der alte Mann am Mississippi.
WILDNISAMMIS5_0506091258.vid;;2005-06-09 12:15;00:45;Wildnis Mississippi - Leben am großen Fluss;;Am Oberlauf des Mississippi hat sich Kenny Salwey in einer Blockhütte niedergelassen. Als Trapper, Jäger und Angler lebt der alte Mann abgeschieden von und mit der Wildnis.Der Film begleitet Kenny durch die Jahreszeiten von bitterkalten Wintern bis zu schwülwarmen Sommertagen. In faszinierenden Bildern wird das Leben von Bibern, Seeadlern, Wasserschildkröten und Klapperschlangen eingefangen. Niemand kennt ihre Gewohnheiten besser als der alte Mann am Mississippi.
